Date,Close
17/07/2010,"0,10"
18/07/2010,"0,10"
19/07/2010,"0,10"
20/07/2010,"0,10"
21/07/2010,"0,10"
22/07/2010,"0,10"
23/07/2010,"0,10"
24/07/2010,"0,10"
25/07/2010,"0,10"
26/07/2010,"0,10"
27/07/2010,"0,10"
28/07/2010,"0,10"
29/07/2010,"0,10"
30/07/2010,"0,10"
31/07/2010,"0,10"
1/08/2010,"0,10"
2/08/2010,"0,10"
3/08/2010,"0,10"
4/08/2010,"0,10"
5/08/2010,"0,10"
6/08/2010,"0,10"
7/08/2010,"0,10"
8/08/2010,"0,10"
9/08/2010,"0,10"
10/08/2010,"0,10"
11/08/2010,"0,10"
12/08/2010,"0,10"
13/08/2010,"0,10"
14/08/2010,"0,10"
15/08/2010,"0,10"
16/08/2010,"0,10"
17/08/2010,"0,10"
18/08/2010,"0,10"
19/08/2010,"0,10"
20/08/2010,"0,10"
21/08/2010,"0,10"
22/08/2010,"0,10"
23/08/2010,"0,10"
24/08/2010,"0,10"
25/08/2010,"0,10"
26/08/2010,"0,10"
27/08/2010,"0,10"
28/08/2010,"0,10"
29/08/2010,"0,10"
30/08/2010,"0,10"
31/08/2010,"0,10"
1/09/2010,"0,10"
2/09/2010,"0,10"
3/09/2010,"0,10"
4/09/2010,"0,10"
5/09/2010,"0,10"
6/09/2010,"0,10"
7/09/2010,"0,10"
8/09/2010,"0,10"
9/09/2010,"0,10"
10/09/2010,"0,10"
11/09/2010,"0,10"
12/09/2010,"0,10"
13/09/2010,"0,10"
14/09/2010,"0,10"
15/09/2010,"0,10"
16/09/2010,"0,10"
17/09/2010,"0,10"
18/09/2010,"0,10"
19/09/2010,"0,10"
20/09/2010,"0,10"
21/09/2010,"0,10"
22/09/2010,"0,10"
23/09/2010,"0,10"
24/09/2010,"0,10"
25/09/2010,"0,10"
26/09/2010,"0,10"
27/09/2010,"0,10"
28/09/2010,"0,10"
29/09/2010,"0,10"
30/09/2010,"0,10"
1/10/2010,"0,10"
2/10/2010,"0,10"
3/10/2010,"0,10"
4/10/2010,"0,10"
5/10/2010,"0,10"
6/10/2010,"0,10"
7/10/2010,"0,10"
8/10/2010,"0,10"
9/10/2010,"0,10"
10/10/2010,"0,10"
11/10/2010,"0,10"
12/10/2010,"0,10"
13/10/2010,"0,10"
14/10/2010,"0,10"
15/10/2010,"0,10"
16/10/2010,"0,10"
17/10/2010,"0,10"
18/10/2010,"0,10"
19/10/2010,"0,10"
20/10/2010,"0,10"
21/10/2010,"0,10"
22/10/2010,"0,10"
23/10/2010,"0,10"
24/10/2010,"0,10"
25/10/2010,"0,20"
26/10/2010,"0,20"
27/10/2010,"0,20"
28/10/2010,"0,20"
29/10/2010,"0,20"
30/10/2010,"0,20"
31/10/2010,"0,20"
1/11/2010,"0,20"
2/11/2010,"0,20"
3/11/2010,"0,20"
4/11/2010,"0,30"
5/11/2010,"0,40"
6/11/2010,"0,30"
7/11/2010,"0,20"
8/11/2010,"0,20"
9/11/2010,"0,20"
10/11/2010,"0,20"
11/11/2010,"0,30"
12/11/2010,"0,30"
13/11/2010,"0,30"
14/11/2010,"0,30"
15/11/2010,"0,20"
16/11/2010,"0,20"
17/11/2010,"0,30"
18/11/2010,"0,30"
19/11/2010,"0,30"
20/11/2010,"0,30"
21/11/2010,"0,30"
22/11/2010,"0,30"
23/11/2010,"0,30"
24/11/2010,"0,30"
25/11/2010,"0,30"
26/11/2010,"0,30"
27/11/2010,"0,30"
28/11/2010,"0,20"
29/11/2010,"0,20"
30/11/2010,"0,20"
1/12/2010,"0,30"
2/12/2010,"0,30"
3/12/2010,"0,20"
4/12/2010,"0,20"
5/12/2010,"0,20"
6/12/2010,"0,20"
7/12/2010,"0,20"
8/12/2010,"0,20"
9/12/2010,"0,20"
10/12/2010,"0,20"
11/12/2010,"0,20"
12/12/2010,"0,20"
13/12/2010,"0,20"
14/12/2010,"0,20"
15/12/2010,"0,30"
16/12/2010,"0,20"
17/12/2010,"0,20"
18/12/2010,"0,20"
19/12/2010,"0,30"
20/12/2010,"0,20"
21/12/2010,"0,30"
22/12/2010,"0,30"
23/12/2010,"0,20"
24/12/2010,"0,20"
25/12/2010,"0,30"
26/12/2010,"0,30"
27/12/2010,"0,30"
28/12/2010,"0,30"
29/12/2010,"0,30"
30/12/2010,"0,30"
31/12/2010,"0,30"
1/01/2011,"0,30"
2/01/2011,"0,30"
3/01/2011,"0,30"
4/01/2011,"0,30"
5/01/2011,"0,30"
6/01/2011,"0,30"
7/01/2011,"0,30"
8/01/2011,"0,30"
9/01/2011,"0,30"
10/01/2011,"0,30"
11/01/2011,"0,30"
12/01/2011,"0,30"
13/01/2011,"0,40"
14/01/2011,"0,40"
15/01/2011,"0,40"
16/01/2011,"0,30"
17/01/2011,"0,30"
18/01/2011,"0,30"
19/01/2011,"0,40"
20/01/2011,"0,40"
21/01/2011,"0,40"
22/01/2011,"0,40"
23/01/2011,"0,40"
24/01/2011,"0,40"
25/01/2011,"0,40"
26/01/2011,"0,40"
27/01/2011,"0,40"
28/01/2011,"0,40"
29/01/2011,"0,50"
30/01/2011,"0,50"
31/01/2011,"0,70"
1/02/2011,"0,70"
2/02/2011,"0,70"
3/02/2011,"0,80"
4/02/2011,"0,90"
5/02/2011,"0,90"
6/02/2011,"0,90"
7/02/2011,"0,90"
8/02/2011,"1,10"
9/02/2011,"1,00"
10/02/2011,"1,10"
11/02/2011,"1,10"
12/02/2011,"1,00"
13/02/2011,"1,10"
14/02/2011,"1,00"
15/02/2011,"1,00"
16/02/2011,"1,00"
17/02/2011,"0,90"
18/02/2011,"0,90"
19/02/2011,"0,90"
20/02/2011,"0,80"
21/02/2011,"0,90"
22/02/2011,"0,90"
23/02/2011,"1,00"
24/02/2011,"0,90"
25/02/2011,"1,00"
26/02/2011,"0,90"
27/02/2011,"0,90"
28/02/2011,"0,90"
1/03/2011,"0,90"
2/03/2011,"0,90"
3/03/2011,"0,90"
4/03/2011,"0,90"
5/03/2011,"0,90"
6/03/2011,"0,90"
7/03/2011,"0,90"
8/03/2011,"0,90"
9/03/2011,"0,90"
10/03/2011,"0,90"
11/03/2011,"0,90"
12/03/2011,"0,90"
13/03/2011,"0,90"
14/03/2011,"0,90"
15/03/2011,"0,90"
16/03/2011,"0,80"
17/03/2011,"0,80"
18/03/2011,"0,80"
19/03/2011,"0,70"
20/03/2011,"0,80"
21/03/2011,"0,80"
22/03/2011,"0,80"
23/03/2011,"0,90"
24/03/2011,"0,90"
25/03/2011,"0,90"
26/03/2011,"0,80"
27/03/2011,"0,80"
28/03/2011,"0,80"
29/03/2011,"0,80"
30/03/2011,"0,80"
31/03/2011,"0,80"
1/04/2011,"0,80"
2/04/2011,"0,80"
3/04/2011,"0,70"
4/04/2011,"0,70"
5/04/2011,"0,70"
6/04/2011,"0,80"
7/04/2011,"0,80"
8/04/2011,"0,70"
9/04/2011,"0,70"
10/04/2011,"0,80"
11/04/2011,"0,90"
12/04/2011,"0,90"
13/04/2011,"1,00"
14/04/2011,"1,00"
15/04/2011,"1,00"
16/04/2011,"1,10"
17/04/2011,"1,20"
18/04/2011,"1,20"
19/04/2011,"1,10"
20/04/2011,"1,20"
21/04/2011,"1,40"
22/04/2011,"1,70"
23/04/2011,"1,60"
24/04/2011,"1,60"
25/04/2011,"1,80"
26/04/2011,"1,90"
27/04/2011,"2,20"
28/04/2011,"2,90"
29/04/2011,"3,50"
30/04/2011,"3,00"
1/05/2011,"3,20"
2/05/2011,"3,40"
3/05/2011,"3,40"
4/05/2011,"3,30"
5/05/2011,"3,50"
6/05/2011,"3,60"
7/05/2011,"3,90"
8/05/2011,"3,80"
9/05/2011,"5,80"
10/05/2011,"5,50"
11/05/2011,"6,30"
12/05/2011,"8,20"
13/05/2011,"7,20"
14/05/2011,"7,00"
15/05/2011,"8,00"
16/05/2011,"7,20"
17/05/2011,"6,90"
18/05/2011,"6,80"
19/05/2011,"5,60"
20/05/2011,"6,10"
21/05/2011,"6,70"
22/05/2011,"7,20"
23/05/2011,"7,40"
24/05/2011,"8,40"
25/05/2011,"8,80"
26/05/2011,"8,50"
27/05/2011,"8,30"
28/05/2011,"8,40"
29/05/2011,"8,80"
30/05/2011,"8,70"
31/05/2011,"9,60"
1/06/2011,"10,60"
2/06/2011,"14,30"
3/06/2011,"18,90"
4/06/2011,"16,70"
5/06/2011,"18,50"
6/06/2011,"23,90"
7/06/2011,"29,60"
8/06/2011,"28,90"
9/06/2011,"24,00"
10/06/2011,"14,60"
11/06/2011,"18,50"
12/06/2011,"19,80"
13/06/2011,"19,30"
14/06/2011,"19,50"
15/06/2011,"17,00"
16/06/2011,"15,70"
17/06/2011,"16,90"
18/06/2011,"17,50"
